side,page,row,col,last5,expected_upc,expected_name,present_on_side,present_anywhere
A,1,0,0,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,True,True
A,1,0,1,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,True,True
A,1,0,3,10602,019674210602,TEXAS ROADHOUSE VGC MD,True,True
A,1,0,4,10603,019674210603,TEXAS ROADHOUSE $25 MD,True,True
A,1,0,5,11230,019674211230,STARBUCKS VGC MD,True,True
A,1,0,6,11227,019674211227,STARBUCKS $25 D82 MD,True,True
A,1,0,9,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,True,True
A,1,0,10,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,True,True
A,1,1,0,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,True,True
A,1,1,1,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,True,True
A,1,1,3,10602,019674210602,TEXAS ROADHOUSE VGC MD,True,True
A,1,1,4,10604,019674210604,TEXAS ROADHOUSE $50 MD,True,True
A,1,1,5,11230,019674211230,STARBUCKS VGC MD,True,True
A,1,1,6,11227,019674211227,STARBUCKS $25 D82 MD,True,True
A,1,1,9,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,True,True
A,1,1,10,16895,019674216895,WMT VV P Hol 2026 Fancy Green $20-500,True,True
A,1,2,0,16887,019674216887,WMT MC P Hol 2026 Striped Gift $20-500,True,True
A,1,2,1,16893,019674216893,WMT AMEX Hol 2026 Fancy White $20-500,True,True
A,1,2,3,10602,019674210602,TEXAS ROADHOUSE VGC MD,True,True
A,1,2,4,10605,019674210605,TEXAS ROADHOUSE $100 MD,True,True
A,1,2,5,11237,019674211237,STARBUCKS $40 MP MD,True,True
A,1,2,6,11228,019674211228,STARBUCKS $50 MD,True,True
A,1,2,9,16889,019674216889,WMT MC P Hol 2026 Wonder Ornament $100,True,True
A,1,2,10,16891,019674216891,WMT MC P Holiday 2026 Wonder Gift $25,True,True
A,1,3,2,16329,019674216329,OUTBACK $50MP VA,True,True
A,1,3,3,16660,019674216660,PIZZA HUT $50MP VA,True,True
A,1,3,4,10945,019674210945,DOMINO'S $45 FOR $40 MD,True,True
A,1,3,5,10582,019674210582,PANERA $25; GET FREE BAGEL (IPP) $4.00 VA,True,True
A,1,3,6,12286,019674212286,DOOR DASH VGC ($15-$200) GWP VA,True,True
