side,page_index,row,col,label_name,last5,resolved_upc,resolved_name,cpp,image_status,image_mean,image_std
A,1,0,0,WMT MC P W Holiday 2026 S Wonder Tree $50 WMT VV P,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,20,IMAGE_PRESENT,150.65,74.21
A,1,0,1,WMT MC P Hol 2026 Striped Tree $20-500 WMT VV P,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,IMAGE_PRESENT,151.2,80.89
A,1,0,3,TEXAS ROADHOUS VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,IMAGE_PRESENT,202.17,82.15
A,1,0,4,TEXAS SE ROADHOUSE $25 REG TEXAS,10603,019674210603,TEXAS ROADHOUSE $25 MD,30,IMAGE_PRESENT,154.38,83.42
A,1,0,5,STARBUCKS E VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,IMAGE_PRESENT,202.38,77.63
A,1,0,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,IMAGE_PRESENT,231.36,52.32
A,1,0,9,WMT MC P Holiday 2026 Nice Santa $25 WMT VV P,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,IMAGE_PRESENT,156.02,92.84
A,1,0,10,WMT MC P Holiday 2026 Nice Snowman $50 WMT VV P,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,IMAGE_PRESENT,134.62,84.23
A,1,1,0,WMT VV P Hol 2026 Fancy Red $20-500 WMT MC P W,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,IMAGE_PRESENT,154.83,69.9
A,1,1,1,WMT VV P Hol 2026 Fancy Gold $20-500 WMT AMEX,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,20,IMAGE_PRESENT,179.02,65.42
A,1,1,3,TEXAS ROADHOUS VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,IMAGE_PRESENT,201.36,82.45
A,1,1,4,TEXAS SE ROADHOUSE $50 REG TEXAS,10604,019674210604,TEXAS ROADHOUSE $50 MD,30,IMAGE_PRESENT,154.68,80.82
A,1,1,5,STARBUCKS E VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,IMAGE_PRESENT,203.9,74.3
A,1,1,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,IMAGE_PRESENT,231.18,52.15
