Status,Side,Section,Row,Col,Source Name,Source Last5,Resolved UPC,Resolved Name,Resolved CPP,Cell X0,Cell Top,Cell X1,Cell Bottom
RESOLVED,A,middle_band,0,0,WMT MC P W Holiday 2026 S Wonder Tree $50 WMT VV P,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,20,160.71,252.06,187.55,287.46
RESOLVED,A,middle_band,0,1,WMT MC P Hol 2026 Striped Tree $20-500 WMT VV P,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,187.55,252.06,215.55,287.46
RESOLVED,A,middle_band,0,3,TEXAS ROADHOUS VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,245.01,252.06,274.06,287.46
RESOLVED,A,middle_band,0,4,TEXAS SE ROADHOUSE $25 REG TEXAS,10603,019674210603,TEXAS ROADHOUSE $25 MD,30,274.06,252.06,301.67,287.46
RESOLVED,A,middle_band,0,5,STARBUCKS E VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,301.67,252.06,329.22,287.46
RESOLVED,A,middle_band,0,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,329.22,252.06,355.91,287.46
RESOLVED,A,middle_band,0,9,WMT MC P Holiday 2026 Nice Santa $25 WMT VV P,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,407.46,252.06,430.81,287.46
RESOLVED,A,middle_band,0,10,WMT MC P Holiday 2026 Nice Snowman $50 WMT VV P,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,430.81,252.06,453.11,287.46
RESOLVED,A,middle_band,1,0,WMT VV P Hol 2026 Fancy Red $20-500 WMT MC P W,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,160.71,287.46,187.55,324.0
RESOLVED,A,middle_band,1,1,WMT VV P Hol 2026 Fancy Gold $20-500 WMT AMEX,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,20,187.55,287.46,215.55,324.0
RESOLVED,A,middle_band,1,3,TEXAS ROADHOUS VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,245.01,287.46,274.06,324.0
RESOLVED,A,middle_band,1,4,TEXAS SE ROADHOUSE $50 REG TEXAS,10604,019674210604,TEXAS ROADHOUSE $50 MD,30,274.06,287.46,301.67,324.0
RESOLVED,A,middle_band,1,5,STARBUCKS E VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,301.67,287.46,329.22,324.0
RESOLVED,A,middle_band,1,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,329.22,287.46,355.91,324.0
RESOLVED,A,middle_band,1,9,WMT VV P Hol 2026 Fancy Gold $20-500 WMT MC P,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,20,407.46,287.46,430.81,324.0
RESOLVED,A,middle_band,1,10,WMT VV P Hol 2026 Fancy Green $20-500 WMT MC P,16895,019674216895,WMT VV P Hol 2026 Fancy Green $20-500,20,430.81,287.46,453.11,324.0
RESOLVED,A,middle_band,2,0,WMT MC P W Hol 2026 Striped Gift F $20-500,16887,019674216887,WMT MC P Hol 2026 Striped Gift $20-500,20,160.71,324.0,187.55,371.12
RESOLVED,A,middle_band,2,1,WMT AMEX Hol 2026 Fancy White $20-500,16893,019674216893,WMT AMEX Hol 2026 Fancy White $20-500,20,187.55,324.0,215.55,371.12
RESOLVED,A,middle_band,2,3,TEXAS ROADHOUS VGC REG,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,245.01,324.0,274.06,371.12
RESOLVED,A,middle_band,2,4,TEXAS SE ROADHOUSE $100 REG BON,10605,019674210605,TEXAS ROADHOUSE $100 MD,30,274.06,324.0,301.67,371.12
RESOLVED,A,middle_band,2,5,STARBUCKS E $40 MP REG NUS,11237,019674211237,STARBUCKS $40 MP MD,9,301.67,324.0,329.22,371.12
RESOLVED,A,middle_band,2,6,STARBUCKS $50 REG,11228,019674211228,STARBUCKS $50 MD,30,329.22,324.0,355.91,371.12
RESOLVED,A,middle_band,2,9,WMT MC P Hol 2026 Wonder Ornament $100,16889,019674216889,WMT MC P Hol 2026 Wonder Ornament $100,20,407.46,324.0,430.81,371.12
RESOLVED,A,middle_band,2,10,WMT MC P Holiday 2026 Wonder Gift $25,16891,019674216891,WMT MC P Holiday 2026 Wonder Gift $25,20,430.81,324.0,453.11,371.12
RESOLVED,A,bonus,3,2,OUTBACK $50MP VA,16329,019674216329,OUTBACK $50MP VA,10,215.55,371.12,245.01,417.5
RESOLVED,A,bonus,3,3,KFC VGC VA,16660,019674216660,PIZZA HUT $50MP VA,10,245.01,371.12,274.06,417.5
RESOLVED,A,bonus,3,4,BON DOMINO'S $45 FOR $40 MD,10945,019674210945,DOMINO'S $45 FOR $40 MD,30,274.06,371.12,301.67,417.5
RESOLVED,A,bonus,3,5,NUS PANERA $25; GET FREE BAGEL (IPP) $4.00 VA,10582,019674210582,PANERA $25; GET FREE BAGEL (IPP) $4.00 VA,30,301.67,371.12,329.22,417.5
RESOLVED,A,bonus,3,6,DOOR DASH VGC ($15- V $200) GWP VA,12286,019674212286,DOOR DASH VGC ($15-$200) GWP VA,10,329.22,371.12,355.91,417.5
RESOLVED,A,bonus,3,7,STARBUCKS VGC VA 2026,16661,019674216661,STARBUCKS VGC VA 2026,30,355.91,371.12,381.86,417.5
RESOLVED,A,bonus,4,0,CHICK FIL A VGC REG,09410,019674209410,CHICK FIL A VGC MD,30,160.71,417.5,187.55,453.78
RESOLVED,A,bonus,4,1,PANERA VGC REG,10584,019674210584,PANERA VGC MD,30,187.55,417.5,215.55,453.78
RESOLVED,A,bonus,4,2,APPLEBEES VGC PROMO MD,10596,019674210596,APPLEBEES VGC PROMO MD,30,215.55,417.5,245.01,453.78
RESOLVED,A,bonus,4,3,CHILI'S CHOICE VGC REG,14777,019674214777,CHILI'S CHOICE VGC REG,30,245.01,417.5,274.06,453.78
RESOLVED,A,bonus,4,4,DARDEN UNIVERSAL VGC REG,16364,019674216364,DARDEN UNIVERSAL VGC REG,20,274.06,417.5,301.67,453.78
RESOLVED,A,bonus,4,5,OLIVE GARDEN VGC MD,11471,019674211471,OLIVE GARDEN VGC MD,20,301.67,417.5,329.22,453.78
RESOLVED,A,bonus,4,6,BLOOMIN BRANDS VGC REG,10446,019674210446,BLOOMIN BRANDS VGC MD,30,329.22,417.5,355.91,453.78
RESOLVED,A,bonus,4,7,CRACKER BARREL VGC MD,10571,019674210571,CRACKER BARREL VGC MD,30,355.91,417.5,381.86,453.78
RESOLVED,A,bonus,4,8,BUFFAL OWILD WINGS VGC REG,11244,019674211244,BUFFAL OWILD WINGS VGC MD,20,381.86,417.5,407.46,453.78
RESOLVED,A,bonus,4,9,SUBWAY VGC REG,10779,019674210779,SUBWAY VGC MD,30,407.46,417.5,430.81,453.78
RESOLVED,A,bonus,5,0,CHICK FIL A VGC REG,09410,019674209410,CHICK FIL A VGC MD,30,160.71,453.78,187.55,489.64
RESOLVED,A,bonus,5,1,PANERA VGC REG,10584,019674210584,PANERA VGC MD,30,187.55,453.78,215.55,489.64
RESOLVED,A,bonus,5,2,APPLEBEES VGC PROMO MD,10596,019674210596,APPLEBEES VGC PROMO MD,30,215.55,453.78,245.01,489.64
RESOLVED,A,bonus,5,3,CHILI'S VGC REG,14781,019674214781,CHILI'S VGC REG,30,245.01,453.78,274.06,489.64
RESOLVED,A,bonus,5,4,DARDEN UNIVERSAL VGC REG,16364,019674216364,DARDEN UNIVERSAL VGC REG,20,274.06,453.78,301.67,489.64
RESOLVED,A,bonus,5,5,OLIVE GARDEN $25 MD,11469,019674211469,OLIVE GARDEN $25 MD,20,301.67,453.78,329.22,489.64
RESOLVED,A,bonus,5,6,BLOOMIN BRANDS $50 REG,10453,019674210453,BLOOMIN BRANDS $50 MD,30,329.22,453.78,355.91,489.64
RESOLVED,A,bonus,5,7,CRACKER BARREL VGC MD,10571,019674210571,CRACKER BARREL VGC MD,30,355.91,453.78,381.86,489.64
RESOLVED,A,bonus,5,8,BUFFAL OWILD WINGS VGC REG,11244,019674211244,BUFFAL OWILD WINGS VGC MD,20,381.86,453.78,407.46,489.64
RESOLVED,A,bonus,5,9,SUBWAY $15 REG,10776,019674210776,SUBWAY $15 REG,30,407.46,453.78,430.81,489.64
RESOLVED,A,bonus,6,0,CHICK FIL A VGC REG,09410,019674209410,CHICK FIL A VGC MD,30,160.71,489.64,187.55,525.4
RESOLVED,A,bonus,6,1,CHEESECAKEF ACTORYVGC REG,10994,019674210994,CHEESECAKEFACTORYVGC MD,20,187.55,489.64,215.55,525.4
RESOLVED,A,bonus,6,2,APPLEBEES VGC PROMO MD,10596,019674210596,APPLEBEES VGC PROMO MD,30,215.55,489.64,245.01,525.4
RESOLVED,A,bonus,6,3,CHILI'S $25 REG,14778,019674214778,CHILI'S $25 REG,30,245.01,489.64,274.06,525.4
