file_path,filename,filename_upc,file_size,modified_time,width,height,detected_text,normalized_text,detected_brand,detected_denomination,detected_pack_quantity,catalog_status,catalog_error
Z:\Kendal King\Images\ 196742030952.jpg, 196742030952.jpg,196742030952,559149,1712782637.0,2000,2806,"Front
_ ® ||
a 4
@
1
# Ca | : i
Vp
| | ) ao
7 ® ||
exten ‘“""""<:
THEATRES.
$30 GIFT CARD
(Jee, + FREE LARGE POPCORN
& F Redeem Popcorn via QR Code on back of card
F ¥ . = dt gl crys *
me ® |
_ @ | |
a IMC
A af 1+ FREE LARGE POPCORN
& } Redeem Popcorn via QR Code on back of card
ia ; a . 3 a -
| | @) ) |",front a 4 1 ca i vp ao 7 exten theatres $30 gift card jee free large popcorn f redeem popcorn via qr code on back of card f dt gl crys me a imc a af 1 free large popcorn redeem popcorn via qr code on back of card ia a 3 a,,$30,,ok,
Z:\Kendal King\Images\ 196742051001.jpg, 196742051001.jpg,196742051001,374628,1712782621.0,863,1220,"DIGITAL
PRODUCT
Online Exchange
Required
“Tickets redeemed via mobile app or website may be subject to a convenience fee
oe wy
\ e~)
\ i) BY P
se ~~
> >
«4 2) 4
:@
EASY EMAIL DELIVERY
Required THEATRES.
TWO MOVIE TICKETS
""4
T\CKE
Brack
Required THEATRES
+",digital product online exchange required tickets redeemed via mobile app or website may be subject to a convenience fee oe wy e i by p se 4 2 4 easy email delivery required theatres two movie tickets 4 t cke brack required theatres,,,,ok,
Z:\Kendal King\Images\ 196742060737.jpg, 196742060737.jpg,196742060737,310068,1712782624.0,1720,2100,"pe / $25-$500
Applebees © — cs can
? i Applebees
~~
$25-5500
@ oe
Applebees GIFT CARD
HOLDER
Z |
22
Applebees
oe Aa
Ala
@ 25-5500
ae WY, wy
2 ants
Z eo
Z =
bh” ~
|
ee
AYa",pe $25 $500 applebees cs can i applebees $25 5500 oe applebees gift card holder z 22 applebees oe aa ala 25 5500 ae wy wy 2 ants z eo z bh ee aya,applebees,$25,,ok,
Z:\Kendal King\Images\ 196742103229.jpg, 196742103229.jpg,196742103229,22658,1757109060.0,259,350,"SSO ft
NORDSTROM
RNG ZNC
‘20 im
FROSTROG",sso ft nordstrom rng znc 20 im frostrog,,,,ok,
Z:\Kendal King\Images\ 196742105827.jpg, 196742105827.jpg,196742105827,119651,1757109060.0,461,636,"BREAD°
BUY A $25 PANERA BREAD
GIFT CARD, GET A FREE BAGEL.
See reverse for details.
Fanera LG ath
BREAD Le ES a Sao
Le Sap : a ab ce
Po erate Ga tn ne *
= ae ee a lt
~@ 39?
0 ee ae 7 Nhe ¢ ra
ote S ota ea
BREAD~°
BUY A $25 PANERA BREAD®
10 ai ys te
Fanera PE Ns, a
BREAD’  efhe ~eoe wr, i
Me ee
oy Ly. a. ere. i ¥ * Pe
EI SR MEER
y BN a and “J oy yes: ae Se
a- = ; a gs ss one
ie a a en
GIFTCARD \ REE Gee ee TS
Jy ES er
Leen
BREAD
BUY AS25 PANERA BREAD®
See roverse for details.
. o6€ ~
ef eee
gh Case Be:
BREAD oy toh bel bd te & bl 4
Like es "" * ae ose, nS té
A . bate Acs a 3 . “wa i N
NB) oA OS
eee ae
05 CNRS af none
GIFT CARD | ia ‘as’ Rete Re",bread buy a $25 panera bread gift card get a free bagel see reverse for details fanera lg ath bread le es a sao le sap a ab ce po erate ga tn ne ae ee a lt 39 0 ee ae 7 nhe ra ote s ota ea bread buy a $25 panera bread 10 ai ys te fanera pe ns a bread efhe eoe wr i me ee oy ly a ere i pe ei sr meer y bn a and j oy yes ae se a a gs ss one ie a a en giftcard ree gee ee ts jy es er leen bread buy as25 panera bread see roverse for details o6 ef eee gh case be bread oy toh bel bd te bl 4 like es ae ose ns t a bate acs a 3 wa i n nb oa os eee ae 05 cnrs af none gift card ia as rete re,panera,$25,,ok,
Z:\Kendal King\Images\ 196742105995.jpg, 196742105995.jpg,196742105995,2898863,1757109060.0,1167,1543,"NO FEES.
NO EXPIRATION.
Applebees
NEIGHBORHOOD GRILL + BAR
Card has NO VALUE until activated at register.",no fees no expiration applebees neighborhood grill bar card has no value until activated at register,applebees,,,ok,
Z:\Kendal King\Images\ 196742108125.jpg, 196742108125.jpg,196742108125,102645,1757109060.0,471,636,"Card not valid RRR
EY pueeen, a> om Nf 1c
and activated. THEATRES
- gap, - )6hCOCh
3 A - > 7 — ‘Ny
f 4 { ) i [ bl
) _ a
| Bx
4 p . ww ww . N y ®
S74 ~~ fries ’ and A ~ rm,
4 14 + FREE LARGE POPCORN
| Redeem Popcorn via details on back of card
7 aff > 4 > af >
aan y | ae
aa - 2 X
y of , Sea) f > Sage
Se BO” ec St Or ee
i y UN i
:  . > & H
—_— x <@ AMC |
ro ) AMC :
i \ j ;
k , 4
Card not valid
eh are aime
$30 GIFT CARD
% be, + FREE LARGE POPCORN
~ Redeem Popcorn via details on back of card
Sell sMerdedy Wacrcbtdivco Soe
untilpurchased amc
; a '.+ FREE LARGE POPCORN
Redeem Popcorn via details on back of card",card not valid rrr ey pueeen a om nf 1c and activated theatres gap 6hcoch 3 a 7 ny f 4 i bl a bx 4 p ww ww n y s74 fries and a rm 4 14 free large popcorn redeem popcorn via details on back of card 7 aff 4 af aan y ae aa 2 x y of sea f sage se bo ec st or ee i y un i h x amc ro amc i j k 4 card not valid eh are aime $30 gift card be free large popcorn redeem popcorn via details on back of card sell smerdedy wacrcbtdivco soe untilpurchased amc a free large popcorn redeem popcorn via details on back of card,amc,$30,,ok,
Z:\Kendal King\Images\ 196742109863.jpg, 196742109863.jpg,196742109863,1245431,1757109060.0,267,350,"Exp,
OR EXP.
a
D 2
% é
ese uty
a fa
3x30 eum 30
GIFT CARDS MULTIPACK
p Exp
yy a
x ®))
sy) g
Weg Key
yy NX sd
3x10 efi 530
Pp EXD
gy <A
q D))
° z=
4, Rj
ese mitey
Y , ON y",exp or exp a d 2 ese uty a fa 3x30 eum 30 gift cards multipack p exp yy a x sy g weg key yy nx sd 3x10 efi 530 pp exd gy a q d z 4 rj ese mitey y on y,,3 x $30,3,ok,
Z:\Kendal King\Images\ 196742110081.jpg, 196742110081.jpg,196742110081,1008502,1757109060.0,1500,1500,"5
AS Red Robin.
‘50 UALUE
FREE ‘5
: as. - aes
> hed Kobin
df Kobi
(4 opin.
GOURMET BURGERS *2 BREWS
)
45 Red Robin
DORIS OP
DEUCES Fa el
FREE ‘$5
ye a
‘ es * » & 8 os AL
- of. obin
y Re TIRODIM
Ml “GOURMET BURGERS “BREWS
Red Robin
GOURMET BURGERS 4X2 BREWS
45 Red Robin.
550 VALUE
ST IRE REE Sa a SE
Co RE ee oe
ma : af a . :
ie ~aGOUBMET BURGERS “BREWS +
GOURMET BURGERS 482 BREWS",5 as red robin 50 ualue free 5 as aes hed kobin df kobi 4 opin gourmet burgers 2 brews 45 red robin doris op deuces fa el free $5 ye a es 8 os al of obin y re tirodim ml gourmet burgers brews red robin gourmet burgers 4x2 brews 45 red robin 550 value st ire ree sa a se co re ee oe ma af a ie agoubmet burgers brews gourmet burgers 482 brews,,4 x $2,4,ok,
Z:\Kendal King\Images\ 196742112627.jpg, 196742112627.jpg,196742112627,29049,1757109060.0,320,320,"Cleaner
~*~
a oui
O) ""
ganna
‘DONUT
as
—
BNE ry",cleaner a oui o ganna donut as bne ry,,,,ok,
Z:\Kendal King\Images\ 799366351726.jpg, 799366351726.jpg,799366351726,353891,1712782725.0,864,1220,"no value until Sea mem YOu Choose
pte at the amount
register
15-100
EK MO PS FE
no value until seaealtiores, you choose
activated at the amount
register $] | fe) fe)
a a. 5
° ee ‘sy ss Z §
§ Cy aw One see!
no value until euta» you choose
register $15-1IOO
Wwe OU Ne vy Ly rw WINN NE
| fame",no value until sea mem you choose pte at the amount register 15 100 ek mo ps fe no value until seaealtiores you choose activated at the amount register $ fe fe a a 5 ee sy ss z cy aw one see no value until euta you choose register $15 1ioo wwe ou ne vy ly rw winn ne fame,playstation,$15,,ok,
Z:\Kendal King\Images\ 799366409212.jpg, 799366409212.jpg,799366409212,5018915,1712782623.0,902,1220,"GE ee 25-5500
bakers '
square
a / ¢
s« Gift card
GEOED %25-'500
bakers
Square 4
ad =r |
ben gift card
~~ — $25-$500
ar
akers a * “ae i
~. Gift card""",ge ee 25 5500 bakers square a s gift card geoed 25 500 bakers square 4 ad r ben gift card $25 $500 ar akers a ae i gift card,,$25,,ok,
Z:\Kendal King\Images\ 799366461883.jpg, 799366461883.jpg,799366461883,2629,1692056883.0,38,50,"~~ <li ""
rt ping
ovine
; -
4 .*
toe
.
=)
— “
to 6 i tee
aoliwm
= oe
ae.”
=) om ad © eer
. aeminn
tede le
oe te ' 8? 83
Ld",li rt ping ovine 4 toe to 6 i tee aoliwm oe ae om ad eer aeminn tede le oe te 8 83 ld,,,,ok,
Z:\Kendal King\Images\ 799366492412.jpg, 799366492412.jpg,799366492412,335185,1712782705.0,720,960,"529-5500
NO VALUE UNTIL ACTIVATED AT REGISTER
=——=- TEAR oC. Sh A
ye .. ~
« c Says ‘ ce |
i) ‘ ay. ~-
> Kae! By, . ee.
‘25-500
‘ A ~
Caen ie
’ ‘ mm} .
‘ —-—-ZTEAKH OU §.5)——
‘ ®
Ye v ei \ ‘ /\ i < |
2 el tie ol. 3
e NIG ae
“sg is _ heed
_— ; - N
ey boa oie ee &
E Se ae rely To Pa. hy
DO” UP eee Sees. See oo ve,
y a Oe ES. Gee a
Ph Leh ea a ie.
S . al aoe te ae Shes oy
¢: “Ny Res hes « a re 4 sy viel
SA0-900
se
3 y '
—steaknouse —AXMe
. oo: ra
‘ see Ro, Sa N
Nanny : NN. ty te. nN
or gate’,
~ : ay \h * a
Se RT,
., . Sheu. . sae eh
. . gM ddy OR te
oe a _",529 5500 no value until activated at register tear oc sh a ye c says ce i ay kae by ee 25 500 a caen ie mm zteakh ou 5 ye v ei i 2 el tie ol 3 e nig ae sg is heed n ey boa oie ee e se ae rely to pa hy do up eee sees see oo ve y a oe es gee a ph leh ea a ie s al aoe te ae shes oy ny res hes a re 4 sy viel sa0 900 se 3 y steaknouse axme oo ra see ro sa n nanny nn ty te nn or gate ay h a se rt sheu sae eh gm ddy or te oe a,,,,ok,
