UPC,original_upc,Item Number,file_path,selected_image_filename,selected_filename_upc,approved,source,date_created,date_updated,notes
19674217480,19674217480,990548992,Z:\Kendal King\Images\OLD - Not Named UPC Only\799366696209_Visa Shiny Hex Box $50.jpg,799366696209_Visa Shiny Hex Box $50.jpg,799366696209,true,OCR_ACCEPTED,2026-08-03T13:47:49,2026-08-03T13:47:49,"brand match; denomination match; shared tokens: $50, VISA; filename text support"
19674217481,19674217481,990549155,Z:\Kendal King\Images\OLD - Not Named UPC Only\799366696216_Visa S Hex Box $100.jpg,799366696216_Visa S Hex Box $100.jpg,799366696216,true,OCR_ACCEPTED,2026-08-03T13:48:14,2026-08-03T13:48:14,"brand match; shared tokens: $100, VISA; filename text support"
19674217482,19674217482,990549198,Z:\Kendal King\Images\196742133776.jpg,196742133776.jpg,196742133776,true,OCR_ACCEPTED,2026-08-03T13:48:44,2026-08-03T13:48:44,"brand match; denomination match; shared tokens: $200, VISA"
19674217483,19674217483,990549200,Z:\Kendal King\Images\799366579847.jpg,799366579847.jpg,799366579847,true,OCR_ACCEPTED,2026-08-03T13:48:59,2026-08-03T13:48:59,"brand match; denomination match; shared tokens: $20, $500, VISA"
19674217486,19674217486,990547901,Z:\Kendal King\Images\OLD - Not Named UPC Only\799366085270_MC S Lotus Bow $50.jpg,799366085270_MC S Lotus Bow $50.jpg,799366085270,true,OCR_ACCEPTED,2026-08-03T13:49:48,2026-08-03T13:49:48,"brand match; shared tokens: $50, MASTERCARD; filename text support"
19674217487,19674217487,990544243,Z:\Kendal King\Images\196742041743.jpg,196742041743.jpg,196742041743,true,OCR_ACCEPTED,2026-08-03T13:50:01,2026-08-03T13:50:01,brand match; shared tokens: MASTERCARD
19674217489,19674217489,990544247,Z:\Kendal King\Images\196742072440.jpg,196742072440.jpg,196742072440,true,OCR_ACCEPTED,2026-08-03T13:50:28,2026-08-03T13:50:28,brand match; shared tokens: MASTERCARD
19674217492,19674217492,990548966,Z:\Kendal King\Images\OLD - Not Named UPC Only\FS_MC Celebration Wrap Sheer Bow Purple $50_UPC 799366364931.jpg,FS_MC Celebration Wrap Sheer Bow Purple $50_UPC 799366364931.jpg,799366364931,true,OCR_ACCEPTED,2026-08-03T13:51:35,2026-08-03T13:51:35,"brand match; shared tokens: $50, MASTERCARD; filename text support"
19674217493,19674217493,990544252,Z:\Kendal King\Images\196742072440.jpg,196742072440.jpg,196742072440,true,OCR_ACCEPTED,2026-08-03T13:51:47,2026-08-03T13:51:47,brand match; shared tokens: MASTERCARD
19674217981,19674217981,990552673,Z:\Kendal King\Images\196742112405.jpg,196742112405.jpg,196742112405,true,OCR_ACCEPTED,2026-08-03T13:52:02,2026-08-03T13:52:02,brand match; denomination match; pack match; shared tokens: STARBUCKS
19674211223,19674211223,990452867,Z:\Kendal King\Images\196742112405.jpg,196742112405.jpg,196742112405,true,OCR_ACCEPTED,2026-08-03T13:52:10,2026-08-03T13:52:10,brand match; denomination match; pack match; shared tokens: STARBUCKS
19674210916,19674210916,990507001,Z:\Kendal King\Images\196742025859.jpg,196742025859.jpg,196742025859,true,OCR_ACCEPTED,2026-08-03T13:52:25,2026-08-03T13:52:25,brand match; shared tokens: DISNEY
19674217375,19674217375,990561180,Z:\Kendal King\Images\OLD - Not Named UPC Only\Sony_PlayStation_50_Chit_030422.jpg,Sony_PlayStation_50_Chit_030422.jpg,030422,true,OCR_ACCEPTED,2026-08-03T13:52:46,2026-08-03T13:52:46,"brand match; denomination match; shared tokens: $50, PLAYSTATION, SONY; filename text support"
19674210278,19674210278,990420757,Z:\Kendal King\Images\OLD - Not Named UPC Only\Sony_PlayStation_50_Chit_030422.jpg,Sony_PlayStation_50_Chit_030422.jpg,030422,true,OCR_ACCEPTED,2026-08-03T13:52:56,2026-08-03T13:52:56,"brand match; denomination match; shared tokens: $50, PLAYSTATION, SONY; filename text support"
