review_group_id,unresolved_upc,calculated_upc12,item_number,product_name,description,expected_brand,expected_denomination,expected_pack_quantity,cpp,occurrence_count,pogs,positions,candidate_rank,candidate_file_path,candidate_filename,candidate_filename_upc,detected_brand,detected_denomination,detected_pack_quantity,detected_text,identifier_score,brand_score,denomination_score,pack_score,text_score,total_score,confidence,score_reasons,selected,approved,review_notes
RG00001,19674217114,196742171143,990544241,Zift Holiday,1 X $25,ZIFT,$25,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C1 | XMAS 2026 - MD-NJ - 6:S1:R1:C2 | XMAS 2026 - NATIONAL - 6:S1:R1:C1 | XMAS 2026 - NATIONAL - 6:S1:R1:C2 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C1 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C2,1,Z:\Kendal King\Images\ 196742060737.jpg,196742060737.jpg,196742060737,APPLEBEES,$25,,"pe / $25-$500
Applebees © — cs can
? i Applebees
~~
$25-5500
@ oe
Applebees GIFT CARD
HOLDER
Z |
22
Applebees
oe Aa
Ala
@ 25-5500
ae WY, wy
2 ants
Z eo
Z =
bh” ~
|
ee
AYa",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $25,FALSE,FALSE,
RG00001,19674217114,196742171143,990544241,Zift Holiday,1 X $25,ZIFT,$25,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C1 | XMAS 2026 - MD-NJ - 6:S1:R1:C2 | XMAS 2026 - NATIONAL - 6:S1:R1:C1 | XMAS 2026 - NATIONAL - 6:S1:R1:C2 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C1 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C2,2,Z:\Kendal King\Images\ 196742105827.jpg,196742105827.jpg,196742105827,PANERA,$25,,"BREAD°
BUY A $25 PANERA BREAD
GIFT CARD, GET A FREE BAGEL.
See reverse for details.
Fanera LG ath
BREAD Le ES a Sao
Le Sap : a ab ce
Po erate Ga tn ne *
= ae ee a lt
~@ 39?
0 ee ae 7 Nhe ¢ ra
ote S ota ea
BREAD~°
BUY A $25 PANERA BREAD®
10 ai ys te
Fanera PE Ns, a
BREAD’  efhe ~eoe wr, i
Me ee
oy Ly. a. ere. i ¥ * Pe
EI SR MEER
y BN a and “J oy yes: ae Se
a- = ; a gs ss one
ie a a en
GIFTCARD \ REE Gee ee TS
Jy ES er
Leen
BREAD
BUY AS25 PANERA BREAD®
See roverse for details.
. o6€ ~
ef eee
gh Case Be:
BREAD oy toh bel bd te & bl 4
Like es "" * ae ose, nS té
A . bate Acs a 3 . “wa i N
NB) oA OS
eee ae
05 CNRS af none
GIFT CARD | ia ‘as’ Rete Re",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $25,FALSE,FALSE,
RG00001,19674217114,196742171143,990544241,Zift Holiday,1 X $25,ZIFT,$25,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C1 | XMAS 2026 - MD-NJ - 6:S1:R1:C2 | XMAS 2026 - NATIONAL - 6:S1:R1:C1 | XMAS 2026 - NATIONAL - 6:S1:R1:C2 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C1 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C2,3,Z:\Kendal King\Images\ 799366409212.jpg,799366409212.jpg,799366409212,GE,$25,,"GE ee 25-5500
bakers '
square
a / ¢
s« Gift card
GEOED %25-'500
bakers
Square 4
ad =r |
ben gift card
~~ — $25-$500
ar
akers a * “ae i
~. Gift card""",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $25,FALSE,FALSE,
RG00001,19674217114,196742171143,990544241,Zift Holiday,1 X $25,ZIFT,$25,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C1 | XMAS 2026 - MD-NJ - 6:S1:R1:C2 | XMAS 2026 - NATIONAL - 6:S1:R1:C1 | XMAS 2026 - NATIONAL - 6:S1:R1:C2 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C1 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C2,4,Z:\Kendal King\Images\ 799366949541.jpg,799366949541.jpg,799366949541,AN,$25,,"aN aaa $25-
$500
Airbnb gift card
With Airbnb, book places
to stay and things to do
all over the world.
& “9 &%
(2 aaa $25-",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $25,FALSE,FALSE,
RG00001,19674217114,196742171143,990544241,Zift Holiday,1 X $25,ZIFT,$25,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C1 | XMAS 2026 - MD-NJ - 6:S1:R1:C2 | XMAS 2026 - NATIONAL - 6:S1:R1:C1 | XMAS 2026 - NATIONAL - 6:S1:R1:C2 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C1 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C2,5,Z:\Kendal King\Images\10196742104509.jpg,10196742104509.jpg,10196742104509,OUTBACK,$25,,"rat) @ufiem °25
-a waa
OUTBACK
STEAKHOUSE®
$25
a cE
Sunes’
io quem *25
-_ae hE rl el rr
a EEE
_—
oo ;
ol",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $25,FALSE,FALSE,
RG00002,19674217113,196742171136,990547019,Zift Holiday,1 X $50,ZIFT,$50,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C3 | XMAS 2026 - MD-NJ - 6:S1:R1:C4 | XMAS 2026 - NATIONAL - 6:S1:R1:C3 | XMAS 2026 - NATIONAL - 6:S1:R1:C4 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C3 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C4,1,Z:\Kendal King\Images\033878704701.JPG,033878704701.JPG,033878704701,THE,$50,,"THE COFFEE BEAN &TEA LEAF’
» SAVE
) *50 Value
: FOR ONLY
EXTREME VALUE
& THE COFFEE BEAN & TEA LEAF’
ll “| SAVE
_ Se) 20
$50 Value
Mil
— SAVE
=> 2)
a
LL $39. 98
c/o .
&) GET TWO $25 GIFT CARDS
TEAS’
| AM",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $50,FALSE,FALSE,
RG00002,19674217113,196742171136,990547019,Zift Holiday,1 X $50,ZIFT,$50,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C3 | XMAS 2026 - MD-NJ - 6:S1:R1:C4 | XMAS 2026 - NATIONAL - 6:S1:R1:C3 | XMAS 2026 - NATIONAL - 6:S1:R1:C4 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C3 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C4,2,Z:\Kendal King\Images\196742004656.JPG,196742004656.JPG,196742004656,EXTREME,$50,,"EXTREME $50
VALUE
ory 25)
x ‘ ~» =
Ls, Feogt |
tt. 1) Pa e every bite a better burger
Ye |
Tere |
; os s Es
SS |
Bs Se, Bee
= BURGER
et Pin a |
(Sts, =i
pe. Sone? ay ay od every bite a better burger
e |
at °25)'
ESD = evga 2 every bite a better burger
.. ey j |
PES ee TS HK KH HS
Aes B. ry ei
PODS ak hig so a Oe .
scsi : io Mee F every bite a better burger
Fe I a
Madi °25'
arene aoe hice ‘ every bite o better burger
L. ~ : |
tee 5-57 FH TH HH HR HH
ors . ry e.
ON om pa ME .
ae a Me Yr every bite o better burger
fa a ee ae ee ee ee ee ee ee ee ee et",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $50,FALSE,FALSE,
RG00002,19674217113,196742171136,990547019,Zift Holiday,1 X $50,ZIFT,$50,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C3 | XMAS 2026 - MD-NJ - 6:S1:R1:C4 | XMAS 2026 - NATIONAL - 6:S1:R1:C3 | XMAS 2026 - NATIONAL - 6:S1:R1:C4 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C3 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C4,3,Z:\Kendal King\Images\196742007114.jpg,196742007114.jpg,196742007114,Z,$50,,"z 197
ag Pe, tr Ve Weds pe og he ae""
Oe a ee
ALL AMERICAN fees
& SPORTS THEATER
- eet
; 7
iz io
fe ae OC ee
$50
>
ALL AMERICAN
¥ a Pie.
Ui Sel ig ees. Ae “Z tae
aes: POEe eo Sle fe AB ry ¢:
- ‘wi
STEASe A ate
Tope, S Parag bo
Re i BE
eS i ae a
*50 > i
ya 4; 4, .
Noth Oe om
ae A ced te LP",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $50,FALSE,FALSE,
RG00002,19674217113,196742171136,990547019,Zift Holiday,1 X $50,ZIFT,$50,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C3 | XMAS 2026 - MD-NJ - 6:S1:R1:C4 | XMAS 2026 - NATIONAL - 6:S1:R1:C3 | XMAS 2026 - NATIONAL - 6:S1:R1:C4 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C3 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C4,4,Z:\Kendal King\Images\196742007367.JPG,196742007367.JPG,196742007367,A,$50,,"™
a
aa
EXTREME  —*—— $50
VALUE —
\
| >)
{ Gea fo3.
owt a ky heigl) my eS fea
, ~~ a” a -
Peat diy Og L oe
(GEau 95)
olorndtn sete BW
q ~
EXTREME $50
VALUE
sountaln Bigg
(EAU D5)
So’
Slovan sete BO
My ee
cS eG Prope) aM
Qe E_—
‘ x > si is
prountaln Pigg
ee, $25
“Stevan Seyte CPD
Pes. got i a ‘ ae # y
ys xa se OO
- ae ate pe aioe Aly tyme
, ae ——_
eo e n
EXTREME $ 50
mountain Big,
- ae i a $
™ re a we A S nt
a OX ae att ""
sronntale: Pies
Storie Sigh BO *
OT RE a Se 7 aad ae a7 at
en, —— gle pl .",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $50,FALSE,FALSE,
RG00002,19674217113,196742171136,990547019,Zift Holiday,1 X $50,ZIFT,$50,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R1:C3 | XMAS 2026 - MD-NJ - 6:S1:R1:C4 | XMAS 2026 - NATIONAL - 6:S1:R1:C3 | XMAS 2026 - NATIONAL - 6:S1:R1:C4 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C3 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R1:C4,5,Z:\Kendal King\Images\196742007404.jpg,196742007404.jpg,196742007404,BRUNCH,$50,,"BRUNCH
& BOOZE
+ ae.
RK? i Fa - > SESS
"" i _
EXTREME quis $50
VALUE
SCUITS
»
RUNCH
J}
V}
“Ee, $50
EXTREME eufiie $ 50
BISCUITS
Se Wee",0,-60,40,0,7,-13,Low,brand conflict; denomination match; token overlap: $50,FALSE,FALSE,
RG00005,19674217480,196742174809,990548992,Visa,1 X $50,VISA,$50,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R2:C1 | XMAS 2026 - MD-NJ - 6:S1:R2:C2 | XMAS 2026 - NATIONAL - 6:S1:R2:C1 | XMAS 2026 - NATIONAL - 6:S1:R2:C2 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R2:C1 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R2:C2,1,Z:\Kendal King\Images\196742037807.jpg,196742037807.jpg,196742037807,VISA,$50,,"i.
yA
7
Kf (
{ |
a ?
VISA
Me HAPPY. Bg $50
egg 0 Eg
L
\
SX | (
?
oe HAPPY we $50
Ffolidays WZ
: ZyS
me 0 OE a
VA
\ ~
A ( (
iw
0
Se HAPPY Be $50
, OZ
. ZS
x BE ag",0,40,40,0,14,94,High,"brand match; denomination match; token overlap: $50, VISA",FALSE,FALSE,
RG00005,19674217480,196742174809,990548992,Visa,1 X $50,VISA,$50,,10,6,XMAS 2026 - MD-NJ - 6 | XMAS 2026 - NATIONAL - 6 | XMAS 2026 - NATIONAL SLFCHK - 6,XMAS 2026 - MD-NJ - 6:S1:R2:C1 | XMAS 2026 - MD-NJ - 6:S1:R2:C2 | XMAS 2026 - NATIONAL - 6:S1:R2:C1 | XMAS 2026 - NATIONAL - 6:S1:R2:C2 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R2:C1 | XMAS 2026 - NATIONAL SLFCHK - 6:S1:R2:C2,2,Z:\Kendal King\Images\196742072266.jpg,196742072266.jpg,196742072266,VISA,$50,,"(ee
( / ( ?
VISA
SS HAPPY % $50 f
""aE,
Se HAPPY %& $50
( ( \
( ( NYG
ih HAPPY Fe $50
tf . . . sit
aS) & ate. ron i .
Vanilla IA see no nits uerin ruscrase",0,40,40,0,14,94,High,"brand match; denomination match; token overlap: $50, VISA",FALSE,FALSE,
