Current UPC 11,Calculated/Excel UPC 12,Item Number,Position Report Name,Pallet Product,DESC 1,DESC 2,DESC 3,PDF Last 6,Last 5,PDF Sources,Target POG Occurrences,Search Keys,Match Status,Matched Key,Matched Path(s)
19674217114,196742171143,990544241,ZIFT HOL 26 $25 SD,Online Exchange Zift Y26 Non AMZ Holiday 25 Barcode-IAB 5PK,Zift Holiday,1 X $25,Gift Card,217114,17114,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742171143|19674217114|217114|17114|990544241,unresolved,,
19674217113,196742171136,990547019,ZIFT HOL 26 $50 SD,Online Exchange Zift Y26 Non AMZ Holiday 50 Barcode-IAB 5PK,Zift Holiday,1 X $50,Gift Card,217113,17113,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742171136|19674217113|217113|17113|990547019,unresolved,,
19674217480,196742174809,990548992,VV $50 SD HH 2026,VV $50 SD HH 2026,Visa,1 X $50,Gift Card,217480,17480,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174809|19674217480|217480|17480|990548992,unresolved,,
19674217481,196742174816,990549155,VV $100 SD MC 2026,VV $100 SD MC 2026,Visa,1 X $100,Gift Card,217481,17481,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174816|19674217481|217481|17481|990549155,unresolved,,
19674217482,196742174823,990549198,VV $200 SD MC 2026,VV $200 SD MC 2026,Visa,1 X $200,Gift Card,217482,17482,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174823|19674217482|217482|17482|990549198,unresolved,,
19674217483,196742174830,990549200,VV VL HH 2026,VV VL HH 2026,Visa,$20-$500,Gift Card,217483,17483,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174830|19674217483|217483|17483|990549200,unresolved,,
19674218050,196742180503,990549201,VV $150 MP HOL 2026,VV $150 MP HOL 2026,Visa $150 Multipack,$150 (3 X $50),Gift Cards,218050,18050,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742180503|19674218050|218050|18050|990549201,unresolved,,
19674217486,196742174861,990547901,MC $50 SD HH HOL 26,MC $50 SD HH HOL 26,MasterCard,1 X $50,Gift Card,217486,17486,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174861|19674217486|217486|17486|990547901,unresolved,,
19674217487,196742174878,990544243,MC $100 SD HH HOL 26,MC $100 SD HH HOL 26,MasterCard,1 X $100,Gift Card,217487,17487,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174878|19674217487|217487|17487|990544243,unresolved,,
19674217488,196742174885,990544244,MC $200 SD HH HOL 26,MC $200 SD HH HOL 26,MasterCard,1 x $200,Gift Card,217488,17488,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174885|19674217488|217488|17488|990544244,unresolved,,
